Date,vix,spx,vxx,vix_vol,vix_futures_f1,vix_futures_f2,term_structure,spx_ma50,spx_trend,vix_change,vix_ma10,market_state,market_state_smooth,ts_signal,vix_futures_vol,ts_position_size,ts_position,ts_returns,ts_signal_change,ts_returns_trade_cost,ts_returns_short_cost,ts_returns_net,etf_signal,hedge_ratio,etf_position,etf_returns,etf_signal_change,etf_returns_trade_cost,etf_returns_short_cost,etf_returns_net,ts_weight,etf_weight,ts_target_weight,etf_target_weight,dynamic_returns,equal_weight_returns
2014-11-26,12.06999969482422,2072.830078125,,0.7978146448631429,12.236180324603117,12.314138056478026,0.9936692498072246,,0,-1.4693902463329134,13.232999897003172,2,2,1.0,0.8287857539143817,0.5,0.5,-0.0016859013866928896,0.0,0.0,0,-0.0016859013866928896,-1.0,0.5827999877929688,-0.5827999877929688,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-28,13.329999923706056,2067.56005859375,,0.7615662510343364,14.19206104063021,14.330677597380603,0.9903272852376688,,0,10.439107379780154,13.186999893188476,2,2,1.0,1.0207474177258917,0.5,0.5,0.07992202893963696,0.0,0.0,0,0.07992202893963696,-0.5,0.7331999969482422,-0.3665999984741211,,0.5,0.00075,2.9761904761904762e-05,,0.3,0.7,0.3,0.7,,
2014-12-01,14.15999984741211,2053.43994140625,,0.7673637387510414,14.623808999825734,15.165659634285472,0.964271212230376,,0,6.226556102449665,13.271999835968018,2,2,1.0,0.9982858536512387,0.5,0.5,0.015210897062783224,0.0,0.0,0,0.015210897062783224,-1.0,0.7663999938964844,-0.7663999938964844,,0.5,0.00075,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-12-02,12.850000381469728,2066.550048828125,,0.7157938463227373,12.325980284714872,12.681163987785183,0.9719912380746408,1988.0834033203123,1,-9.251408757478195,13.157999897003174,1,2,1.0,1.1270814904212405,0.5,0.5,-0.07856464465373708,0.0,0.0,0,-0.07856464465373708,-1.0,0.6140000152587891,-0.6140000152587891,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-12-03,12.5,2074.330078125,,0.642004249476126,13.037041984697398,13.437992342861795,0.9701629270255254,1989.9146044921877,1,-2.7237382963384404,13.021999931335449,1,2,1.0,1.1501202277735079,0.5,0.5,0.02884402228292926,0.0,0.0,0,0.02884402228292926,-1.0,0.6,-0.6,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-12-04,12.380000114440918,2071.919921875,,0.629744070735543,12.568458968510711,12.717964137156011,0.9882445675240964,1991.387001953125,1,-0.9599990844726514,12.863999938964843,1,1,1.0,1.1450027908644285,0.5,0.5,-0.017971216811938584,0.0,0.0,0,-0.017971216811938584,-1.0,0.5952000045776368,-0.5952000045776368,,0.0,0.0,5.9523809523809524e-05,,0.2,0.8,0.2,0.8,,
2014-12-05,11.890000343322754,2075.3701171875,,0.6760898946886227,11.957039326003638,12.246630291522017,0.9763534165215346,1993.5746044921875,1,-3.957994883591265,12.694999980926514,1,1,1.0,1.1130187732070527,0.5,0.5,-0.0243235723663075,0.0,0.0,0,-0.0243235723663075,-1.0,0.5756000137329101,-0.5756000137329101,,0.0,0.0,5.9523809523809524e-05,,0.2,0.8,0.2,0.8,,
2014-12-08,14.210000038146973,2060.31005859375,,0.7235736766502474,14.805338180660058,14.97222838279937,0.9888533491560252,1995.123806152344,1,19.51219199187908,12.826000022888184,1,1,1.0,1.3775826247439598,0.5,0.5,0.11910552340754066,0.0,0.0,0,0.11910552340754066,-0.5,0.7684000015258788,-0.3842000007629394,,0.5,0.00075,2.9761904761904762e-05,,0.2,0.8,0.2,0.8,,
2014-12-09,15.350000381469728,2059.820068359375,,0.8704632788423553,16.098000123644216,16.84799965069098,0.9554843576331624,1996.7642065429689,1,8.022521747096434,13.099000072479248,3,1,1.0,1.4012908099513288,0.5,0.5,0.04365526566197375,0.0,0.0,0,0.04365526566197375,-1.0,0.8140000152587891,-0.8140000152587891,,0.5,0.00075,5.9523809523809524e-05,,0.2,0.8,0.2,0.8,,
2014-12-10,18.530000686645508,2026.1400146484373,,1.4622617977752697,19.06914071187133,19.9517897336446,0.9557609099957154,1997.8412060546875,0,20.71661385112815,13.7270001411438,2,1,1.0,1.5000654621685463,0.5,0.5,0.09228290984614917,0.0,0.0,0,0.09228290984614917,0.0,0.9,0.0,,1.0,0.0015,0.0,,0.2,0.8,0.2,0.8,,
